t,count
1741049888,5
1741049889,5
1741049890,5
1741049891,5
1741049893,5
1741049894,5
1741049895,5
1741049896,5
1741049897,5
1741049898,5
1741049899,5
1741049900,5
1741049901,5
1741049902,6
1741049903,6
1741049904,6
1741049905,6
1741049906,6
1741049907,7
1741049908,7
1741049909,7
1741049910,7
1741049911,7
1741049912,8
1741049913,10
1741049914,10
1741049915,10
1741049916,11
1741049917,11
1741049918,11
1741049919,11
1741049920,13
1741049921,13
1741049922,14
1741049923,31
1741049924,66
1741049925,66
1741049926,67
1741049927,67
1741049928,67
1741049929,67
1741049930,67
1741049931,101
1741049932,152
1741049933,175
1741049934,175
1741049935,209
1741049936,232
1741049937,232
1741049938,263
1741049938,263
1741049938,263
1741049938,263
