t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1741048153,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048154,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048155,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048156,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048157,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048158,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048159,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048160,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048161,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048162,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048163,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048164,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048165,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048166,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048167,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048168,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048169,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048170,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048171,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048172,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048173,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048174,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048175,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048176,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048177,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048178,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048179,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048180,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048181,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048182,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048183,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048184,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048185,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048186,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048187,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048188,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048189,5,5959,4930.400000,4323,747.612627,4323.000000,5724.000000,5959.000000,5959.000000,5959.000000,5959.000000
1741048191,5,5959,4930.400000,4323,747.612627,4323.000000,5724.000000,5959.000000,5959.000000,5959.000000,5959.000000
1741048192,5,5959,4930.400000,4323,747.612627,4323.000000,5724.000000,5959.000000,5959.000000,5959.000000,5959.000000
1741048193,10,5959,4930.400000,4323,747.612627,4323.000000,5724.000000,5959.000000,5959.000000,5959.000000,5959.000000
1741048194,10,5959,4930.400000,4323,747.612627,4323.000000,5724.000000,5959.000000,5959.000000,5959.000000,5959.000000
1741048195,10,5959,4930.400000,4323,747.612627,4323.000000,5724.000000,5959.000000,5959.000000,5959.000000,5959.000000
1741048196,10,5959,4930.400000,4323,747.612627,4323.000000,5724.000000,5959.000000,5959.000000,5959.000000,5959.000000
1741048197,10,5959,4930.400000,4323,747.612627,4323.000000,5724.000000,5959.000000,5959.000000,5959.000000,5959.000000
1741048198,13,5959,4064.424416,1092,1652.633437,4323.000000,5724.000000,5959.000000,5959.000000,5959.000000,5959.000000
1741048199,16,22053,5505.967637,1092,4715.568681,4323.000000,5805.000000,22053.000000,22053.000000,22053.000000,22053.000000
1741048200,28,22053,6843.352103,1092,6612.532463,5724.000000,5959.000000,22053.000000,22053.000000,22053.000000,22053.000000
1741048201,28,22053,6843.352103,1092,6612.532463,5724.000000,5959.000000,22053.000000,22053.000000,22053.000000,22053.000000
1741048202,31,22053,7296.989955,1092,6859.509392,5805.000000,5959.000000,22053.000000,22053.000000,22053.000000,22053.000000
1741048203,32,22053,7245.823831,1092,6746.077411,5805.000000,5959.000000,22053.000000,22053.000000,22053.000000,22053.000000
1741048204,35,22053,7651.015773,1092,6925.892709,5805.000000,5959.000000,22053.000000,22053.000000,22053.000000,22053.000000
1741048205,35,22053,7651.015773,1092,6925.892709,5805.000000,5959.000000,22053.000000,22053.000000,22053.000000,22053.000000
1741048206,47,22053,8765.498247,1092,7297.507238,5808.000000,15180.000000,22053.000000,22053.000000,22053.000000,22053.000000
1741048207,51,22053,8627.386849,1092,7211.893060,5808.000000,15180.000000,22053.000000,22053.000000,22053.000000,22053.000000
1741048207,51,22053,8627.386849,1092,7211.893060,5808.000000,15180.000000,22053.000000,22053.000000,22053.000000,22053.000000
1741048207,51,22053,8627.386849,1092,7211.893060,5808.000000,15180.000000,22053.000000,22053.000000,22053.000000,22053.000000
