t,count
1741050245,5
1741050246,5
1741050247,5
1741050248,5
1741050249,5
1741050250,5
1741050251,5
1741050252,5
1741050253,5
1741050254,5
1741050255,6
1741050256,6
1741050257,6
1741050258,6
1741050259,6
1741050260,6
1741050261,6
1741050262,6
1741050263,7
1741050264,7
1741050265,8
1741050266,10
1741050267,10
1741050268,10
1741050269,10
1741050270,10
1741050271,10
1741050272,11
1741050273,13
1741050274,13
1741050275,22
1741050276,43
1741050277,43
1741050278,43
1741050279,43
1741050280,45
1741050281,66
1741050282,95
1741050284,95
1741050285,116
1741050286,131
1741050287,151
1741050287,151
1741050287,151
1741050287,151
