Spark Version: version 2.4.8

 Query       Time(secs)   Rows Returned
========================================
 query01          23.00        100
 query02          23.00       2513
 query03          16.00         89
 query04          45.00          8
 query05          26.00        100
 query06          25.00         45
 query07          19.00        100
 query08          22.00          5
 query09          22.00          1
 query10          26.00          5
 query11          36.00         88
 query12          20.00        100
 query13          20.00          1
 query14          63.00        100
 100               0.00          0
 query15          17.00        100
 query16          18.00          1
 query17          25.00          1
 query18          22.00        100
 query19          19.00        100
 query20          21.00        100
 query21          18.00        100
 query22          19.00        100
 query23          47.00          1
 4                 0.00          0
 query24          31.00          0
 query25          26.00          1
 query26          18.00        100
 query27          21.00        100
 query28          30.00          1
 query29          25.00          1
 query30          26.00        100
 query31          34.00         51
 query32          20.00          1
 query33          25.00        100
 query34          22.00        451
 query35          27.00        100
 query36          20.00        100
 query37          17.00          1
 query38          28.00          1
 query39          31.00        246
 17                0.00          0
 query40          18.00        100
 query41          17.00          4
 query42          17.00         10
 query43          18.00          6
 query44          21.00         10
 query45          17.00         19
 query46          21.00        100
 query47          47.00        100
 query48          18.00          1
 query49          23.00         32
 query50          19.00          6
 query51          51.00        100
 query52          17.00        100
 query53          20.00        100
 query54          29.00          1
 query55          17.00        100
 query56          23.00        100
 query57          40.00        100
 query58          27.00          3
 query59          24.00        100
 query60          24.00        100
 query61          18.00          1
 query62          18.00        100
 query63          20.00        100
 query64          36.00         10
 query65          24.00        100
 query66          24.00          5
 query67          25.00        100
 query68          19.00        100
 query69          25.00        100
 query70          24.00          3
 query71          22.00       1018
 query72          30.00        100
 query73          20.00          5
 query74          37.00         92
 query75          37.00        100
 query76          20.00        100
 query77          72.00         44
 query78          29.00        100
 query79          19.00        100
 query80          25.00        100
 query81          26.00        100
 query82          19.00          2
 query83          22.00         21
 query84          16.00         25
 query85          21.00          6
 query86          19.00        100
 query87          29.00          1
 query88          21.00          1
 query89          21.00        100
 query90          16.00          1
 query91          19.00          1
 query92          20.00          1
 query93          17.00        100
 query94          18.00          1
 query95          26.00          1
 query96          14.00          1
 query97          21.00          1
 query98          23.00       2516
 query99          18.00         90
 query100         17.00         90
 query101          7.00          0
 query102         10.00          1
