t,value
1741051508,0
1741051509,0
1741051510,0
1741051511,0
1741051512,0
1741051513,0
1741051514,0
1741051515,0
1741051516,8193
1741051517,8193
1741051518,8193
1741051519,8193
1741051520,8193
1741051521,8193
1741051522,8193
1741051523,8193
1741051524,8193
1741051525,8193
1741051526,32769
1741051527,32769
1741051528,32769
1741051529,32769
1741051530,32769
1741051531,32769
1741051532,32769
1741051533,32769
1741051534,32769
1741051535,32769
1741051536,32769
1741051537,32769
1741051538,32769
1741051539,32769
1741051540,32769
1741051541,32769
1741051542,32769
1741051543,32769
1741051545,32769
1741051546,3151865
1741051547,3151865
1741051548,3151865
1741051548,3151865
1741051548,3151865
