t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1741049318,5,91.080969,18.611271,0.016261,36.242160,0.039073,1.903403,91.080969,91.080969,91.080969,91.080969,1.919381,0.000000,0.000000,0.000000,calls/second,milliseconds
1741049319,5,91.080969,18.611271,0.016261,36.242160,0.039073,1.903403,91.080969,91.080969,91.080969,91.080969,1.378502,0.000000,0.000000,0.000000,calls/second,milliseconds
1741049320,5,91.080969,18.611271,0.016261,36.242160,0.039073,1.903403,91.080969,91.080969,91.080969,91.080969,1.075428,0.000000,0.000000,0.000000,calls/second,milliseconds
1741049321,5,91.080969,18.611271,0.016261,36.242160,0.039073,1.903403,91.080969,91.080969,91.080969,91.080969,0.881350,1.000000,1.000000,1.000000,calls/second,milliseconds
1741049322,5,91.080969,18.611271,0.016261,36.242160,0.039073,1.903403,91.080969,91.080969,91.080969,91.080969,0.747255,1.000000,1.000000,1.000000,calls/second,milliseconds
1741049323,5,91.080969,18.611271,0.016261,36.242160,0.039073,1.903403,91.080969,91.080969,91.080969,91.080969,0.648492,1.000000,1.000000,1.000000,calls/second,milliseconds
1741049324,5,91.080969,18.611271,0.016261,36.242160,0.039073,1.903403,91.080969,91.080969,91.080969,91.080969,0.572837,1.000000,1.000000,1.000000,calls/second,milliseconds
1741049325,5,91.080969,18.611271,0.016261,36.242160,0.039073,1.903403,91.080969,91.080969,91.080969,91.080969,0.512528,1.000000,1.000000,1.000000,calls/second,milliseconds
1741049326,5,91.080969,18.611271,0.016261,36.242160,0.039073,1.903403,91.080969,91.080969,91.080969,91.080969,0.464205,0.920044,0.983471,0.994460,calls/second,milliseconds
1741049327,5,91.080969,18.611271,0.016261,36.242160,0.039073,1.903403,91.080969,91.080969,91.080969,91.080969,0.424148,0.920044,0.983471,0.994460,calls/second,milliseconds
1741049328,5,91.080969,18.611271,0.016261,36.242160,0.039073,1.903403,91.080969,91.080969,91.080969,91.080969,0.390429,0.920044,0.983471,0.994460,calls/second,milliseconds
1741049330,5,91.080969,18.611271,0.016261,36.242160,0.039073,1.903403,91.080969,91.080969,91.080969,91.080969,0.361628,0.920044,0.983471,0.994460,calls/second,milliseconds
1741049331,6,91.080969,14.995243,0.016261,33.323499,0.118273,1.903403,91.080969,91.080969,91.080969,91.080969,0.404204,0.920044,0.983471,0.994460,calls/second,milliseconds
1741049332,6,91.080969,14.995243,0.016261,33.323499,0.118273,1.903403,91.080969,91.080969,91.080969,91.080969,0.378281,0.862473,0.970522,0.990058,calls/second,milliseconds
1741049333,7,91.080969,12.492352,0.016261,30.908296,0.070442,1.903403,91.080969,91.080969,91.080969,91.080969,0.414733,0.862473,0.970522,0.990058,calls/second,milliseconds
1741049334,7,91.080969,12.492352,0.016261,30.908296,0.070442,1.903403,91.080969,91.080969,91.080969,91.080969,0.391201,0.862473,0.970522,0.990058,calls/second,milliseconds
1741049335,7,91.080969,12.492352,0.016261,30.908296,0.070442,1.903403,91.080969,91.080969,91.080969,91.080969,0.370196,0.862473,0.970522,0.990058,calls/second,milliseconds
1741049336,7,91.080969,12.492352,0.016261,30.908296,0.070442,1.903403,91.080969,91.080969,91.080969,91.080969,0.351354,0.862473,0.970522,0.990058,calls/second,milliseconds
1741049337,7,91.080969,12.492352,0.016261,30.908296,0.070442,1.903403,91.080969,91.080969,91.080969,91.080969,0.334324,0.809504,0.957786,0.985681,calls/second,milliseconds
1741049338,7,91.080969,12.492352,0.016261,30.908296,0.070442,1.903403,91.080969,91.080969,91.080969,91.080969,0.318896,0.809504,0.957786,0.985681,calls/second,milliseconds
1741049339,7,91.080969,12.492352,0.016261,30.908296,0.070442,1.903403,91.080969,91.080969,91.080969,91.080969,0.304827,0.809504,0.957786,0.985681,calls/second,milliseconds
1741049340,8,91.080969,10.521148,0.016261,28.704750,0.095980,0.118273,91.080969,91.080969,91.080969,91.080969,0.333675,0.809504,0.957786,0.985681,calls/second,milliseconds
1741049341,10,91.080969,7.978222,0.016261,25.355597,0.097664,0.118273,91.080969,91.080969,91.080969,91.080969,0.400157,0.809504,0.957786,0.985681,calls/second,milliseconds
1741049342,10,91.080969,7.978222,0.016261,25.355597,0.097664,0.118273,91.080969,91.080969,91.080969,91.080969,0.384463,0.792753,0.951873,0.983545,calls/second,milliseconds
1741049343,11,91.080969,7.107269,0.016261,24.045201,0.095980,0.105088,91.080969,91.080969,91.080969,91.080969,0.406967,0.792753,0.951873,0.983545,calls/second,milliseconds
1741049344,11,91.080969,7.107269,0.016261,24.045201,0.095980,0.105088,91.080969,91.080969,91.080969,91.080969,0.392221,0.792753,0.951873,0.983545,calls/second,milliseconds
1741049345,11,91.080969,7.107269,0.016261,24.045201,0.095980,0.105088,91.080969,91.080969,91.080969,91.080969,0.378583,0.792753,0.951873,0.983545,calls/second,milliseconds
1741049346,11,91.080969,7.107269,0.016261,24.045201,0.095980,0.105088,91.080969,91.080969,91.080969,91.080969,0.365858,0.745359,0.939445,0.979204,calls/second,milliseconds
1741049347,11,91.080969,7.107269,0.016261,24.045201,0.095980,0.105088,91.080969,91.080969,91.080969,91.080969,0.353887,0.745359,0.939445,0.979204,calls/second,milliseconds
1741049348,13,91.080969,5.777873,0.016261,21.785562,0.097664,0.118273,91.080969,91.080969,91.080969,91.080969,0.404996,0.745359,0.939445,0.979204,calls/second,milliseconds
1741049349,13,91.080969,5.777873,0.016261,21.785562,0.097664,0.118273,91.080969,91.080969,91.080969,91.080969,0.392650,0.745359,0.939445,0.979204,calls/second,milliseconds
1741049350,17,91.080969,4.154855,0.016261,18.578724,0.104317,0.119485,1.903403,91.080969,91.080969,91.080969,0.498018,0.745359,0.939445,0.979204,calls/second,milliseconds
1741049351,23,91.080969,2.917290,0.014697,15.633164,0.095980,0.110919,1.903403,91.080969,91.080969,91.080969,0.654256,0.829684,0.953669,0.983751,calls/second,milliseconds
1741049352,35,91.080969,1.889394,0.010369,12.396906,0.099107,0.130095,1.378473,1.903403,91.080969,91.080969,0.967491,0.829684,0.953669,0.983751,calls/second,milliseconds
1741049353,36,91.080969,1.832947,0.010369,12.207175,0.099107,0.126127,1.378473,1.903403,91.080969,91.080969,0.968068,0.829684,0.953669,0.983751,calls/second,milliseconds
1741049354,36,91.080969,1.832947,0.010369,12.207175,0.099107,0.126127,1.378473,1.903403,91.080969,91.080969,0.942462,0.829684,0.953669,0.983751,calls/second,milliseconds
1741049355,36,91.080969,1.832947,0.010369,12.207175,0.099107,0.126127,1.378473,1.903403,91.080969,91.080969,0.918016,0.829684,0.953669,0.983751,calls/second,milliseconds
1741049356,36,91.080969,1.832947,0.010369,12.207175,0.099107,0.126127,1.378473,1.903403,91.080969,91.080969,0.894886,1.019204,0.990797,0.996029,calls/second,milliseconds
1741049357,54,91.080969,1.178886,0.010369,9.681726,0.091693,0.119485,0.270654,1.903403,91.080969,91.080969,1.308470,1.019204,0.990797,0.996029,calls/second,milliseconds
1741049358,55,91.080969,1.156586,0.010369,9.583473,0.091693,0.118273,0.270654,1.903403,91.080969,91.080969,1.300547,1.019204,0.990797,0.996029,calls/second,milliseconds
1741049359,76,91.080969,0.821924,0.010369,7.996993,0.075983,0.104317,0.254639,1.378473,1.903403,91.080969,1.754026,1.019204,0.990797,0.996029,calls/second,milliseconds
1741049360,77,91.080969,0.810930,0.010369,7.938844,0.075552,0.104317,0.254639,1.378473,1.903403,91.080969,1.736021,1.019204,0.990797,0.996029,calls/second,milliseconds
1741049361,77,91.080969,0.810930,0.010369,7.938844,0.075552,0.104317,0.254639,1.378473,1.903403,91.080969,1.692616,1.593349,1.109955,1.035940,calls/second,milliseconds
1741049362,96,91.080969,0.647889,0.004469,7.015377,0.074801,0.101711,0.204935,1.378473,1.903403,91.080969,2.063826,1.593349,1.109955,1.035940,calls/second,milliseconds
1741049363,105,91.080969,0.594636,0.004469,6.669520,0.074931,0.101711,0.204935,0.315963,1.903403,91.080969,2.209239,1.593349,1.109955,1.035940,calls/second,milliseconds
1741049363,106,91.080969,0.589251,0.004469,6.634114,0.075552,0.099347,0.204935,0.315963,1.903403,91.080969,2.224608,1.593349,1.109955,1.035940,calls/second,milliseconds
1741049363,106,91.080969,0.589251,0.004469,6.634114,0.075552,0.099347,0.204935,0.315963,1.903403,91.080969,2.223369,1.593349,1.109955,1.035940,calls/second,milliseconds
1741049363,106,91.080969,0.589251,0.004469,6.634114,0.075552,0.099347,0.204935,0.315963,1.903403,91.080969,2.218276,1.593349,1.109955,1.035940,calls/second,milliseconds
