t,count
1741051898,5
1741051899,5
1741051900,5
1741051901,5
1741051902,5
1741051903,5
1741051904,5
1741051905,5
1741051906,5
1741051907,6
1741051908,6
1741051909,6
1741051910,6
1741051911,6
1741051912,6
1741051913,6
1741051914,6
1741051915,7
1741051916,7
1741051917,8
1741051918,8
1741051919,10
1741051920,10
1741051921,10
1741051922,10
1741051923,10
1741051924,10
1741051925,13
1741051926,13
1741051927,24
1741051928,39
1741051929,50
1741051930,50
1741051931,50
1741051932,54
1741051933,82
1741051934,104
1741051935,105
1741051936,125
1741051937,145
1741051938,173
1741051938,173
1741051938,173
1741051938,173
