t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740832089,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1740832099,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1740832109,60,559.363876,17.494688,0.009582,72.225700,0.750645,3.285968,92.378025,132.485943,559.363876,559.363876,1.923022,0.697864,0.147828,0.049757,calls/second,milliseconds
1740832112,469,559.363876,3.189517,0.009582,27.318362,0.510225,0.799187,4.122590,16.313928,35.516804,559.363876,13.668959,0.697864,0.147828,0.049757,calls/second,milliseconds
1740832112,469,559.363876,3.189517,0.009582,27.318362,0.510225,0.799187,4.122590,16.313928,35.516804,559.363876,13.648649,0.697864,0.147828,0.049757,calls/second,milliseconds
