t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740832973,4,85.591239,42.825958,8.497220,30.451272,56.858721,85.591239,85.591239,85.591239,85.591239,85.591239,0.269415,0.736036,0.786777,0.795568,calls/second,milliseconds
1740832983,5,85.591239,35.484223,8.497220,29.895852,20.356650,56.858721,85.591239,85.591239,85.591239,85.591239,0.202395,0.639032,0.764289,0.787885,calls/second,milliseconds
1740832993,108,284.961854,8.255198,0.013300,34.600387,0.426604,1.673040,34.081916,92.180584,196.120819,284.961854,3.109930,0.796787,0.792124,0.796908,calls/second,milliseconds
1740833003,1009,284.961854,1.387632,0.013300,10.738318,0.482256,0.777216,2.248660,5.011502,8.652400,196.120819,22.566551,3.991739,1.474342,1.026780,calls/second,milliseconds
1740833006,1940,92.180584,0.732130,0.019434,3.494382,0.422264,0.715714,1.441723,2.600271,4.950277,85.591239,40.280569,17.408946,4.289578,1.972890,calls/second,milliseconds
1740833006,1942,152.110655,0.888907,0.019434,5.989069,0.422264,0.719429,1.481886,2.659903,5.945957,152.110655,40.282530,17.408946,4.289578,1.972890,calls/second,milliseconds
