t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740833224,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1740833234,11,438.142881,56.683986,0.007796,124.450001,10.997356,25.598717,438.142881,438.142881,438.142881,438.142881,0.524087,0.175902,0.036363,0.012188,calls/second,milliseconds
1740833241,448,438.142881,2.421153,0.007796,21.614622,0.487997,0.688620,2.182628,13.244665,27.050766,438.142881,16.235083,0.513642,0.108487,0.036497,calls/second,milliseconds
1740833241,448,438.142881,2.421153,0.007796,21.614622,0.487997,0.688620,2.182628,13.244665,27.050766,438.142881,16.213916,0.513642,0.108487,0.036497,calls/second,milliseconds
