t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1740831263,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1740831273,10,5220,1863.647787,580,1535.722464,1329.000000,2971.000000,5220.000000,5220.000000,5220.000000,5220.000000
1740831283,40,8455,2494.399876,562,2414.477073,1578.000000,3627.000000,8455.000000,8455.000000,8455.000000,8455.000000
1740831286,40,8455,2494.399876,562,2414.477073,1578.000000,3627.000000,8455.000000,8455.000000,8455.000000,8455.000000
1740831287,40,8455,2494.399876,562,2414.477073,1578.000000,3627.000000,8455.000000,8455.000000,8455.000000,8455.000000
