t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740829733,4,70.730020,29.114586,5.791266,25.076024,25.972924,70.730020,70.730020,70.730020,70.730020,70.730020,0.284785,0.736036,0.786777,0.795568,calls/second,milliseconds
1740829743,97,134.966429,3.875051,0.000788,15.921292,0.116305,1.241371,21.342170,35.118650,134.966429,134.966429,4.049918,0.653744,0.767540,0.788987,calls/second,milliseconds
1740829753,826,134.966429,0.920155,0.000788,6.099264,0.283978,0.395684,1.330450,3.013414,13.964132,134.966429,24.335277,6.912156,2.076163,1.228457,calls/second,milliseconds
1740829754,834,134.966429,0.911742,0.000788,6.068488,0.283212,0.393426,1.318679,2.992683,13.964132,134.966429,24.464433,6.912156,2.076163,1.228457,calls/second,milliseconds
1740829754,835,134.966429,0.910619,0.000788,6.064647,0.283212,0.393426,1.318679,2.992683,13.964132,134.966429,24.464998,6.912156,2.076163,1.228457,calls/second,milliseconds
