t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740834279,4,26.497301,6.628202,0.002390,11.471430,0.010190,26.497301,26.497301,26.497301,26.497301,26.497301,0.355946,0.736036,0.786777,0.795568,calls/second,milliseconds
1740834289,35,26.497301,1.139514,0.000838,4.992296,0.004370,0.007366,19.413742,26.497301,26.497301,26.497301,1.657396,0.829647,0.803903,0.801175,calls/second,milliseconds
1740834297,517,26.497301,0.072576,0.000329,1.239558,0.004008,0.005288,0.008287,0.053599,0.091915,26.497301,17.763860,1.802734,1.005487,0.868759,calls/second,milliseconds
1740834297,517,26.497301,0.072576,0.000329,1.239558,0.004008,0.005288,0.008287,0.053599,0.091915,26.497301,17.738903,1.802734,1.005487,0.868759,calls/second,milliseconds
