t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740829554,4,64.602050,16.154452,0.002567,27.971234,0.009907,64.602050,64.602050,64.602050,64.602050,64.602050,0.353272,0.736036,0.786777,0.795568,calls/second,milliseconds
1740829564,36,64.602050,2.170299,0.000669,10.355687,0.004319,0.008864,0.031826,64.602050,64.602050,64.602050,1.696231,0.797664,0.797292,0.798959,calls/second,milliseconds
1740829575,1666,64.602050,0.071133,0.000227,1.849100,0.003749,0.005254,0.008412,0.013075,0.030302,28.211856,53.306458,22.723460,5.429226,2.357276,calls/second,milliseconds
1740829578,2577,64.602050,0.067574,0.000285,1.810267,0.002922,0.004319,0.007595,0.011471,0.030026,28.211856,74.556521,22.723460,5.429226,2.357276,calls/second,milliseconds
1740829578,2577,64.602050,0.067574,0.000285,1.810267,0.002922,0.004319,0.007595,0.011471,0.030026,28.211856,74.478701,22.723460,5.429226,2.357276,calls/second,milliseconds
