t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1740833843,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1740833853,71,717,97.659476,5,125.524130,47.000000,118.000000,291.000000,415.000000,717.000000,717.000000
1740833863,147,1731,106.187427,1,199.137391,47.000000,136.000000,346.000000,717.000000,1061.000000,1731.000000
1740833870,198,1731,85.327963,1,174.084334,24.000000,99.000000,291.000000,638.000000,1061.000000,1731.000000
1740833870,198,1731,85.327963,1,174.084334,24.000000,99.000000,291.000000,638.000000,1061.000000,1731.000000
