t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740834336,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1740834346,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1740834356,97,358.791396,9.773455,0.004115,39.424821,0.308125,3.284702,48.853663,117.272254,122.379504,358.791396,3.082436,0.958206,0.203533,0.068538,calls/second,milliseconds
1740834363,1765,358.791396,1.007201,0.004455,11.199801,0.327350,0.540504,0.789620,1.743152,8.489426,117.272254,46.241121,10.060493,2.097646,0.704168,calls/second,milliseconds
1740834363,1765,358.791396,1.007201,0.004455,11.199801,0.327350,0.540504,0.789620,1.743152,8.489426,117.272254,46.188918,10.060493,2.097646,0.704168,calls/second,milliseconds
