t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740830268,4,86.303890,40.324249,13.438710,27.772863,36.525054,86.303890,86.303890,86.303890,86.303890,86.303890,0.281548,0.736036,0.786777,0.795568,calls/second,milliseconds
1740830278,22,136.151420,14.992652,0.001346,32.581927,0.111826,16.972528,86.303890,136.151420,136.151420,136.151420,0.912225,0.653744,0.767540,0.788987,calls/second,milliseconds
1740830288,331,136.151420,1.759383,0.001346,9.216569,0.299446,0.472510,5.137389,20.904049,37.333272,136.151420,9.698435,2.258705,1.103711,0.901895,calls/second,milliseconds
1740830291,986,136.151420,0.750233,0.001346,5.276411,0.239782,0.331655,0.974140,2.761173,12.287220,86.303890,26.997254,8.042796,2.318497,1.310193,calls/second,milliseconds
1740830291,986,136.151420,0.750233,0.001346,5.276411,0.239782,0.331655,0.974140,2.761173,12.287220,86.303890,26.969550,8.042796,2.318497,1.310193,calls/second,milliseconds
