t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740830330,4,94.201295,35.889523,7.709867,34.188078,24.495699,94.201295,94.201295,94.201295,94.201295,94.201295,0.286810,0.736036,0.786777,0.795568,calls/second,milliseconds
1740830340,36,173.231603,14.457529,0.017561,39.824213,0.379469,7.709867,158.671188,173.231603,173.231603,173.231603,1.508752,0.655023,0.767595,0.788993,calls/second,milliseconds
1740830350,593,173.231603,1.997035,0.017561,11.048360,0.550618,0.915639,2.989838,14.265443,34.823928,173.231603,17.546673,3.038238,1.265525,0.956170,calls/second,milliseconds
1740830350,593,173.231603,1.997035,0.017561,11.048360,0.550618,0.915639,2.989838,14.265443,34.823928,173.231603,17.524370,3.038238,1.265525,0.956170,calls/second,milliseconds
1740830350,593,173.231603,1.997035,0.017561,11.048360,0.550618,0.915639,2.989838,14.265443,34.823928,173.231603,17.517883,3.038238,1.265525,0.956170,calls/second,milliseconds
