t,count
1741049389,0
1741049390,0
1741049391,0
1741049392,1
1741049393,1
1741049394,1
1741049395,1
1741049396,1
1741049397,1
1741049398,1
1741049399,1
1741049400,1
1741049401,1
1741049402,1
1741049403,1
1741049404,1
1741049405,1
1741049406,1
1741049407,1
1741049408,1
1741049409,1
1741049410,1
1741049411,5
1741049412,12
1741049413,12
1741049414,12
1741049415,12
1741049416,12
1741049417,12
1741049418,12
1741049419,12
1741049420,12
1741049421,12
1741049422,12
1741049423,12
1741049425,12
1741049426,12
1741049427,12
1741049428,12
1741049429,12
1741049430,12
1741049430,12
1741049430,12
1741049430,12
