t,value
1741050388,0
1741050389,0
1741050390,0
1741050391,0
1741050392,0
1741050393,0
1741050394,0
1741050395,0
1741050396,0
1741050397,0
1741050398,0
1741050399,0
1741050400,0
1741050401,0
1741050402,0
1741050403,0
1741050404,0
1741050405,327
1741050406,327
1741050407,327
1741050408,327
1741050409,327
1741050410,327
1741050411,327
1741050412,327
1741050413,327
1741050414,327
1741050415,470
1741050416,470
1741050417,470
1741050418,470
1741050419,470
1741050420,470
1741050421,470
1741050422,470
1741050423,470
1741050424,470
1741050425,706
1741050426,706
1741050427,706
1741050429,706
1741050430,706
1741050431,706
1741050432,706
1741050433,706
1741050433,706
1741050433,706
1741050434,706
