t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1741048720,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048721,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048722,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048723,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048724,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048725,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048726,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048727,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048728,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048729,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048730,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048731,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048732,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048734,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048735,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048736,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048737,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048738,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048739,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048740,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048741,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048742,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048743,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048744,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048745,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048746,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048747,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048748,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048749,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048750,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048751,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048752,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048753,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048754,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741048755,10,4119,2073.800000,611,1501.864694,2989.000000,3300.000000,4119.000000,4119.000000,4119.000000,4119.000000
1741048756,10,4119,2073.800000,611,1501.864694,2989.000000,3300.000000,4119.000000,4119.000000,4119.000000,4119.000000
1741048757,10,4119,2073.800000,611,1501.864694,2989.000000,3300.000000,4119.000000,4119.000000,4119.000000,4119.000000
1741048758,14,4119,2088.682034,611,1516.213605,2989.000000,3300.000000,4119.000000,4119.000000,4119.000000,4119.000000
1741048759,14,4119,2088.682034,611,1516.213605,2989.000000,3300.000000,4119.000000,4119.000000,4119.000000,4119.000000
1741048760,14,4119,2088.682034,611,1516.213605,2989.000000,3300.000000,4119.000000,4119.000000,4119.000000,4119.000000
1741048761,16,4119,2050.096695,611,1479.945926,2989.000000,3167.000000,4119.000000,4119.000000,4119.000000,4119.000000
1741048762,18,4119,2088.218114,611,1519.237196,2989.000000,3300.000000,4119.000000,4119.000000,4119.000000,4119.000000
1741048763,26,14028,2353.025993,593,2795.333947,1593.000000,3300.000000,4119.000000,14028.000000,14028.000000,14028.000000
1741048764,28,14028,2732.352107,593,3520.567649,1593.000000,3300.000000,14028.000000,14028.000000,14028.000000,14028.000000
1741048765,28,14028,2732.352107,593,3520.567649,1593.000000,3300.000000,14028.000000,14028.000000,14028.000000,14028.000000
1741048766,32,14028,2760.502534,593,3382.897883,1593.000000,4108.000000,14028.000000,14028.000000,14028.000000,14028.000000
1741048766,32,14028,2760.502534,593,3382.897883,1593.000000,4108.000000,14028.000000,14028.000000,14028.000000,14028.000000
1741048766,32,14028,2760.502534,593,3382.897883,1593.000000,4108.000000,14028.000000,14028.000000,14028.000000,14028.000000
1741048766,32,14028,2760.502534,593,3382.897883,1593.000000,4108.000000,14028.000000,14028.000000,14028.000000,14028.000000
