t,value
1741048720,0
1741048721,0
1741048722,0
1741048723,0
1741048724,0
1741048725,0
1741048726,0
1741048727,0
1741048728,0
1741048729,0
1741048730,0
1741048731,0
1741048732,0
1741048734,0
1741048735,3
1741048736,3
1741048737,3
1741048738,3
1741048739,3
1741048740,3
1741048741,3
1741048742,3
1741048743,3
1741048744,3
1741048745,4
1741048746,4
1741048747,4
1741048748,4
1741048749,4
1741048750,4
1741048751,4
1741048752,4
1741048753,4
1741048754,4
1741048755,4
1741048756,4
1741048757,4
1741048758,4
1741048759,4
1741048760,4
1741048761,4
1741048762,4
1741048763,4
1741048764,4
1741048765,5
1741048766,5
1741048766,5
1741048766,5
1741048766,5
